label,action_1,action_2,action_3,action_4,action_5,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20
action_1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
action_2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
action_3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
action_4,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0
action_5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
action_10,0,0,0,1,2,23,0,0,0,0,0,0,0,0,0,0
action_11,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0
action_12,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
action_13,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
action_14,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
action_15,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
action_16,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,2
action_17,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
action_18,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0
action_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
action_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
