label,bb,dm,gg,gt,jm,jz,ks,mc,tf,tm
bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dm,0.047619,0.047619,0.619048,0.0,0.238095,0.047619,0.0,0.0,0.0,0.0
gg,0.047619,0.0,0.380952,0.095238,0.0,0.047619,0.095238,0.095238,0.0,0.238095
gt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ks,0.047619,0.0,0.0,0.0,0.0,0.238095,0.238095,0.0,0.142857,0.333333
mc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tm,0.0,0.142857,0.0,0.095238,0.714286,0.047619,0.0,0.0,0.0,0.0
